GMA,zone,n,pct_excl,median_sp,p10,p90,p90p10,p_iqr,cod,median_ratio,log_median_sp
A111,A,368,0.10326086956521739,125000,65726.70000000001,165000,2.510395318797383,0.4512,29.181877814269345,1.0299384056222962,11.736069016284437
A121,A,54,0.07407407407407407,347250,173570,547600,3.1549230857867143,0.6648668106551476,24.868314698961754,1.0720481927710843,12.757800260616591
A122,A,43,0.18604651162790697,159000,72600,182800,2.517906336088154,0.29245283018867924,30.071988115739536,1.0110824283425317,11.976659481202368
A123,A,78,0.24358974358974358,136500,49400,175075,3.544028340080972,0.6868131868131868,41.982080347219096,0.9351734756178494,11.824079893607152
A124,A,78,0.20512820512820512,98900,45000,154270,3.4282222222222223,0.6945146612740142,38.143474742383965,1.0754545454545454,11.501864517610803
A131,A,179,0.2905027932960894,96000,38920,185800.0000000001,4.773895169578625,1.0191197916666668,41.65481263735164,1.16,11.472103470449973
A132,A,160,0.39375,79400,18699.999999999996,145190,7.764171122994654,0.9977959697732998,39.63479418217895,1.132749288544166,11.282253647235228
A141,A,205,0.28292682926829266,92000,35000,182476.8,5.213622857142857,1.059782608695652,56.86937275641313,0.9959183673469388,11.429543856031177
A142,A,180,0.46111111111111114,50000,16500,140000,8.484848484848484,1.3025,48.897046823144926,1.1386666666666667,10.819778284410283
A151,A,91,0.5714285714285714,31600,10000,116500,11.65,1.4541139240506329,41.63198650245597,1.489568214332163,10.360912399575003
A152,A,199,0.6130653266331658,27500,10000,65000,6.5,0.9727272727272728,33.73279171193504,1.624848484848485,10.221941283654663
A1C1,A,34,0.5294117647058824,87450,40600,225250,5.548029556650246,1.3664951400800458,53.11732713391024,1.0713636363636363,11.378822480446749
A1C2,A,22,0.2727272727272727,106750,34510,220000.0000000001,6.374963778614897,0.9911007025761124,45.81693742853583,0.9152767052767052,11.578244931090872
A211,A,64,0.078125,200147,125030,319030.00000000006,2.551627609373751,0.4072007074800022,33.22946478959012,1.0147619047619048,12.206807375549955
A212,A,75,0.2,254000,109300,446000.0000000001,4.080512351326625,0.6889763779527559,39.231124772143104,0.9363981229682421,12.445089546000673
A216,A,196,0.3010204081632653,80750,30000,165500,5.516666666666667,1.1393188854489165,49.94469981571677,0.9131428571428571,11.299113241084903
A217,A,125,0.272,112500,50000,172960.00000000006,3.4592000000000014,0.7422222222222222,44.42512584513951,0.8407458675808912,11.630708500626612
A219,A,119,0.16806722689075632,120000,51659.8,170850,3.3072137329219236,0.741,39.98650937274972,0.8799039231385108,11.695247021764184
A221,A,124,0.04032258064516129,133500,67300,199400.00000000003,2.9628528974739976,0.7612359550561798,22.52550653935699,1.0816216216216217,11.801856756822442
A222,A,45,0.1111111111111111,135000,77000,193000,2.5064935064935066,0.48148148148148145,32.2652264689818,1.1231716705157813,11.813030057420567
A311,A,39,0.6153846153846154,26000,5000,142000.00000000003,28.400000000000006,2.4903846153846154,41.85804721021569,1.3312820512820511,10.165851817003619
A321,A,68,0.5,41800.825,7940,186000.0000000001,23.425692695214117,1.9257993113772278,51.92114765275742,0.86,10.640671355160183
A322,A,78,0.47435897435897434,28125,6989.999999999999,76499.99999999999,10.94420600858369,1.3422222222222222,49.765398718514284,1.1471428571428572,10.244414139506722
A331,A,112,0.5,30000,6650.375000000001,87300.00000000001,13.127079300039473,1.5333416666666666,57.52589221160808,0.9569724870409976,10.308952660644293
A332,A,59,0.5932203389830508,20000,6314.712000000001,113000.0000000001,17.894719505814372,2.19855,46.54471232399459,1.39,9.903487552536127
